Symptoms,HealthFactors,Age Group,Severity,Predicted Disease
"voice tremor, bleeding gums",allergies,teenager,mild,Ulcerative Colitis
"hair loss, nosebleeds",,senior,moderate,Cirrhosis
"palpitations, gas/bloating, hand tremors",,child,severe,Tension Headache
"tingling sensation, lightheadedness, lump or swelling, sensitivity to light, trouble walking","stress, chronic kidney disease, allergies",adult,moderate,Breast Cancer
"yellowing of eyes, drooling, difficulty breathing at night, frequent infections",HIV positive,adult,moderate,Influenza
"tingling sensation, insomnia, difficulty concentrating, involuntary movements",malnutrition,teenager,mild,Urinary Tract Infection
"dizziness, depression, heat intolerance, shortness of breath","pregnancy, urban living, high cholesterol, autoimmune disorder",child,moderate,Stroke
"repetitive movements, difficulty swallowing, difficulty concentrating, urinary incontinence, fainting",anemia,senior,mild,Typhoid
"wheezing, low energy, lightheadedness, persistent sneezing","long-term medication use, family history of cancer, alcohol use",teenager,moderate,Leukemia
"yellowing of eyes, drooling",rural living,adult,mild,Influenza
"muscle pain, constipation, difficulty speaking","COPD, long-term medication use, chronic kidney disease, obesity",adult,moderate,Peptic Ulcer
"acid reflux, nail changes",chronic kidney disease,teenager,moderate,Measles
difficulty swallowing,,adult,moderate,Arthritis
"nosebleeds, difficulty sleeping, insomnia","vitamin D deficiency, chronic kidney disease",senior,mild,Hepatitis C
diarrhea,,senior,mild,Malaria
difficulty breathing at night,hypertension,child,moderate,Crohn’s Disease
"leg cramps, skin discoloration",,teenager,moderate,Cataract
"fainting, constipation, difficulty swallowing, neck stiffness, loss of smell","mental health disorder, urban living, low immunity, thyroid disorder",adult,severe,Anemia
groin pain,"smoker, malnutrition, chronic liver disease",child,moderate,Gallstones
hoarseness,,adult,moderate,Hepatitis B
diarrhea,"chronic kidney disease, radiation exposure",adult,moderate,Malaria
blurred vision,"chronic kidney disease, radiation exposure",adult,moderate,Malaria
"chronic cough, trouble walking, tingling sensation","sleep apnea, malnutrition, chronic kidney disease",senior,moderate,Hypothyroidism
"loss of taste, facial drooping",diabetes,adult,moderate,Chronic Kidney Disease
"painful urination, nausea, acid reflux, abdominal pain",,adult,mild,Migraine
"back pain, muscle pain, difficulty speaking",,senior,moderate,Peptic Ulcer
"dry mouth, nail changes, blurred vision, double vision, frequent infections, heat intolerance, difficulty swallowing",family history of heart disease,senior,moderate,Cushing Syndrome
tremors,alcohol use,senior,severe,Sinusitis
"loss of balance, difficulty breathing at night, low energy, difficulty speaking, dry eyes, joint pain",,adult,moderate,Dengue Fever
"tremors, hand tremors, difficulty sleeping, difficulty speaking, urinary incontinence, nausea",HIV positive,adult,mild,Multiple Sclerosis
"lump or swelling, tingling sensation, trouble walking, sensitivity to light","chronic kidney disease, stress",adult,severe,Breast Cancer
"difficulty urinating, memory loss, hand tremors",mental health disorder,teenager,severe,Congestive Heart Failure
"difficulty swallowing, wheezing",,adult,moderate,Lupus
"voice tremor, back pain, difficulty concentrating, increased thirst",family history of heart disease,senior,mild,Hyperthyroidism
"difficulty breathing at night, loss of balance, difficulty speaking, low energy, dry eyes, joint pain",,adult,moderate,Dengue Fever
"hair loss, memory loss, shortness of breath, nosebleeds, frequent infections, palpitations, difficulty breathing at night",,adult,mild,Cirrhosis
"difficulty speaking, difficulty urinating, fever, joint pain",,adult,severe,Glaucoma
"frequent infections, yellowing of eyes","vitamin D deficiency, night shift worker, rural living, HIV positive",adult,moderate,Influenza
"back pain, hearing loss, sensitivity to light, constipation, abdominal pain","COPD, high cholesterol",teenager,moderate,Sleep Apnea
"persistent sneezing, low energy, wheezing",,senior,moderate,Leukemia
"lump or swelling, shortness of breath",,adult,moderate,Pneumonia
"slow healing, vomiting, nausea, leg cramps",frequent travel,adult,moderate,Coronary Artery Disease
"shortness of breath, dizziness, heat intolerance, depression","high cholesterol, pregnancy, autoimmune disorder",teenager,mild,Stroke
"lightheadedness, lump or swelling, trouble walking, tingling sensation, sensitivity to light",,adult,mild,Breast Cancer
"persistent sneezing, heat intolerance, night sweats, double vision, nail changes, rash, swollen lymph nodes","exposure to chemicals, chronic kidney disease, low immunity",teenager,moderate,Kidney Stones
involuntary movements,chronic liver disease,adult,severe,Urinary Tract Infection
cough,"thyroid disorder, alcohol use, autoimmune disorder",adult,severe,Sinusitis
"hand tremors, numbness, gas/bloating, palpitations, loss of taste",asthma,child,moderate,Tension Headache
"sensitivity to light, hearing loss, abdominal pain, constipation",,adult,moderate,Sleep Apnea
"depression, hiccups, weight loss",HIV positive,adult,mild,Mumps
"fever, insomnia, dry eyes, muscle pain, trouble walking",,adult,mild,Hypertension
"blurred vision, swelling in legs, diarrhea, difficulty sleeping, irritability","chronic kidney disease, radiation exposure",adult,mild,Malaria
persistent hiccups,"family history of heart disease, urban living",teenager,moderate,Conjunctivitis
dry eyes,"mental health disorder, HIV positive, autoimmune disorder",teenager,mild,Hypertension
"mood swings, unsteady gait",asthma,senior,mild,Addison’s Disease
"hallucinations, hand tremors, drooling, cough, fatigue, nosebleeds","smoker, alcohol use, exposure to chemicals, frequent travel",teenager,moderate,Insomnia
diarrhea,"exposure to chemicals, long-term medication use",adult,severe,Lupus
difficulty swallowing,,child,severe,Conjunctivitis
difficulty sleeping,"chronic kidney disease, radiation exposure",adult,severe,Malaria
"difficulty swallowing, difficulty urinating",,child,mild,Alzheimer’s Disease
leg cramps,"sleep apnea, mental health disorder",senior,moderate,Hepatitis B
"heat intolerance, difficulty swallowing, urinary incontinence, fainting, repetitive movements, yellowing of eyes",,senior,moderate,Typhoid
"tremors, groin pain","pregnancy, occupational hazard",teenager,moderate,Macular Degeneration
"mood swings, voice tremor, frequent infections, unsteady gait","rural living, pregnancy",adult,moderate,Addison’s Disease
"neck stiffness, irritability, craving for salt",,adult,mild,Zika Virus
"hand tremors, low energy","high cholesterol, allergies",adult,mild,Chickenpox
hoarseness,,senior,moderate,Lung Cancer
"insomnia, gas/bloating, loss of balance, joint pain, dizziness","sleep apnea, family history of heart disease, hypertension",teenager,moderate,Colon Cancer
"night sweats, rash, heat intolerance, double vision",,senior,mild,Kidney Stones
"low energy, painful urination, lightheadedness, fever",exposure to chemicals,adult,severe,Tuberculosis
"frequent infections, anxiety, difficulty urinating, frequent belching, memory loss","vitamin D deficiency, long-term medication use, radiation exposure",adult,mild,Skin Cancer
"mood swings, hand tremors",,senior,mild,Bipolar Disorder
bleeding gums,,adult,moderate,Ulcerative Colitis
"heat intolerance, fainting, yellowing of eyes",,adult,moderate,Typhoid
"lightheadedness, persistent sneezing, wheezing","alcohol use, family history of cancer",adult,moderate,Leukemia
"confusion, low energy, painful urination, fever, irregular heartbeat","vitamin D deficiency, hypertension, exposure to chemicals, obesity",senior,moderate,Tuberculosis
"nail changes, swollen lymph nodes, night sweats, rash",exposure to chemicals,adult,severe,Kidney Stones
"abdominal pain, fever, cough, fainting",,adult,mild,Diabetes Type 2
"leg cramps, difficulty concentrating, vomiting, urinary incontinence, palpitations",,senior,moderate,Diabetes Type 1
"unsteady gait, hand tremors, persistent hiccups, joint pain",,teenager,moderate,Conjunctivitis
"palpitations, frequent infections, hair loss, difficulty breathing at night, shortness of breath, nosebleeds","alcohol use, night shift worker, hypertension",teenager,severe,Cirrhosis
"dry mouth, yellowing of eyes, irregular heartbeat, frequent belching, wheezing, hair loss","pregnancy, stress",senior,moderate,Epilepsy
"double vision, rash, night sweats, heat intolerance, swollen lymph nodes","exposure to chemicals, chronic kidney disease, low immunity",adult,mild,Kidney Stones
"muscle pain, back pain, constipation, difficulty speaking",long-term medication use,adult,mild,Peptic Ulcer
easy bruising,chronic liver disease,child,severe,Gallstones
"painful urination, wheezing, gas/bloating, difficulty concentrating, loss of appetite, weight loss",,adult,moderate,Bronchitis
"hair loss, painful urination, chronic cough","HIV positive, urban living, alcohol use",adult,moderate,Otitis Media
"low energy, increased thirst, wheezing, rash, hand tremors",high cholesterol,adult,severe,Chickenpox
"painful urination, muscle stiffness, chronic cough, hair loss",,adult,moderate,Otitis Media
"leg cramps, slow healing",,adult,moderate,Coronary Artery Disease
"difficulty speaking, fever",family history of cancer,teenager,mild,Glaucoma
"numbness, yellowing of eyes","radiation exposure, family history of cancer",adult,mild,Transient Ischemic Attack
"persistent hiccups, confusion, frequent belching, hand tremors",,adult,mild,COPD
"hoarseness, loss of appetite",,adult,severe,Iron Deficiency
"insomnia, difficulty concentrating, involuntary movements","chronic liver disease, smoker, malnutrition",adult,mild,Urinary Tract Infection
persistent hiccups,"diabetes, high cholesterol, asthma",adult,severe,Chronic Kidney Disease
mood swings,"pregnancy, rural living, asthma",adult,mild,Addison’s Disease
"wheezing, leg cramps, cold hands and feet, diarrhea, hoarseness",mental health disorder,child,moderate,Hepatitis B
"hair loss, heat intolerance, skin discoloration",chronic kidney disease,child,mild,COVID-19
"joint pain, slow healing",,child,mild,Depression
"joint pain, chronic cough, slow healing",frequent travel,teenager,moderate,Depression
"lightheadedness, dry eyes, hoarseness, neck stiffness, muscle stiffness",,adult,moderate,Osteoporosis
"groin pain, chest pain, painful urination",,adult,severe,Macular Degeneration
lightheadedness,,senior,moderate,Osteoporosis
"abdominal pain, weight loss","smoker, radiation exposure",senior,mild,Diabetes Type 2
frequent headaches,"stress, obesity, chronic liver disease",adult,severe,Asthma
"urinary incontinence, difficulty sleeping, difficulty speaking, nausea, hand tremors, tremors","chronic liver disease, urban living, HIV positive",senior,mild,Multiple Sclerosis
"double vision, nail changes, heat intolerance, frequent infections, difficulty swallowing","family history of heart disease, family history of cancer",child,moderate,Cushing Syndrome
"voice tremor, increased thirst, difficulty concentrating, lightheadedness, back pain, loss of balance","obesity, family history of heart disease",adult,moderate,Hyperthyroidism
weight loss,"hypertension, asthma",adult,moderate,Down Syndrome
"persistent hiccups, facial drooping, groin pain","anemia, diabetes, asthma",adult,mild,Chronic Kidney Disease
"dizziness, heat intolerance, shortness of breath, depression","pregnancy, urban living, autoimmune disorder, high cholesterol",adult,moderate,Stroke
hand tremors,,child,severe,Bipolar Disorder
"dizziness, nail changes, fever","COPD, thyroid disorder",adult,moderate,Common Cold
"slow healing, acid reflux, loss of balance, involuntary movements, nail changes",,senior,moderate,Measles
"gas/bloating, hand tremors, palpitations, numbness","chronic liver disease, malnutrition, asthma",senior,mild,Tension Headache
"trouble walking, difficulty sleeping, acid reflux",malnutrition,adult,moderate,Hypothyroidism
"abdominal pain, painful urination, nausea, acid reflux","anemia, malnutrition, obesity, sleep apnea",teenager,mild,Migraine
"difficulty concentrating, palpitations, leg cramps, vomiting, confusion, loss of appetite, urinary incontinence",,adult,mild,Diabetes Type 1
"loss of appetite, unsteady gait, change in voice, cold hands and feet, increased thirst, muscle stiffness, leg cramps",family history of cancer,senior,mild,Rheumatoid Arthritis
"swelling in legs, sore throat",smoker,senior,moderate,Tetanus
"memory loss, hand tremors, cold hands and feet, vision loss, difficulty urinating, voice tremor",,adult,moderate,Congestive Heart Failure
neck stiffness,,adult,mild,Tetanus
"confusion, vomiting, palpitations, urinary incontinence, difficulty concentrating",,adult,mild,Diabetes Type 1
"lightheadedness, tingling sensation, sensitivity to light, trouble walking, lump or swelling","stress, rural living",teenager,severe,Breast Cancer
"hiccups, weight loss, involuntary movements",HIV positive,adult,severe,Mumps
"lump or swelling, persistent hiccups, confusion, heat intolerance, ear pain",,adult,moderate,Gastroenteritis
"muscle pain, tremors","alcohol use, malnutrition",adult,moderate,Macular Degeneration
involuntary movements,,teenager,mild,Urinary Tract Infection
"involuntary movements, heat intolerance, loss of balance",rural living,adult,mild,Pancreatitis
"anxiety, skin discoloration, mood swings","rural living, alcohol use, occupational hazard",senior,moderate,Meningitis
"loss of balance, nail changes, involuntary movements, slow healing, acid reflux, irritability","night shift worker, autoimmune disorder, frequent travel",senior,moderate,Measles
"tremors, cough, abdominal pain, lightheadedness","autoimmune disorder, thyroid disorder",senior,mild,Sinusitis
"hiccups, loss of balance",,senior,moderate,Pancreatitis
"mood swings, fever, hand tremors, fainting, wheezing",,adult,moderate,Bipolar Disorder
"frequent belching, wheezing, irregular heartbeat, yellowing of eyes, dry mouth, hair loss",,teenager,mild,Epilepsy
"easy bruising, headache, difficulty urinating, difficulty breathing at night, loss of balance, dry eyes, nausea",,adult,moderate,Crohn’s Disease
"joint pain, hand tremors, difficulty speaking","urban living, family history of heart disease",senior,moderate,Conjunctivitis
"insomnia, involuntary movements, difficulty concentrating",chronic liver disease,adult,severe,Urinary Tract Infection
"difficulty urinating, dry mouth, unsteady gait, hallucinations, skin discoloration, difficulty swallowing","occupational hazard, malnutrition, alcohol use",adult,mild,Alzheimer’s Disease
"mood swings, fainting, wheezing, hand tremors",,adult,moderate,Bipolar Disorder
"cold hands and feet, memory loss, vision loss, voice tremor","smoker, HIV positive",senior,mild,Congestive Heart Failure
"unsteady gait, voice tremor, mood swings, difficulty swallowing","pregnancy, rural living, asthma",adult,mild,Addison’s Disease
"dry eyes, low energy, difficulty breathing at night, loss of balance",,senior,severe,Dengue Fever
"rash, night sweats","low immunity, chronic kidney disease, exposure to chemicals",senior,moderate,Kidney Stones
"memory loss, hair loss, rash, chest pain, loss of balance",,senior,mild,Vitamin B12 Deficiency
"ear pain, persistent hiccups, lump or swelling, heat intolerance, confusion, abdominal pain",,senior,moderate,Gastroenteritis
"memory loss, hand tremors, cold hands and feet, voice tremor",,adult,mild,Congestive Heart Failure
"heat intolerance, irregular heartbeat, difficulty urinating",family history of cancer,teenager,mild,Lymphoma
"lightheadedness, fever, confusion",obesity,adult,moderate,Tuberculosis
"facial drooping, persistent hiccups, groin pain",asthma,senior,moderate,Chronic Kidney Disease
heat intolerance,"urban living, high cholesterol, pregnancy",adult,severe,Stroke
"yellowing of eyes, urinary incontinence, difficulty swallowing","anemia, recent infection, frequent travel",adult,severe,Typhoid
"nausea, hand tremors, difficulty speaking, tremors, difficulty sleeping","HIV positive, urban living, chronic liver disease",adult,moderate,Multiple Sclerosis
"insomnia, fainting, rash, urinary incontinence",,adult,moderate,Schizophrenia
frequent belching,"exposure to chemicals, pregnancy",adult,severe,COPD
"vision loss, memory loss, voice tremor, hand tremors","mental health disorder, recent surgery, HIV positive",adult,moderate,Congestive Heart Failure
"constipation, sensitivity to light, hearing loss, abdominal pain, back pain","COPD, high cholesterol",adult,moderate,Sleep Apnea
"facial drooping, groin pain, loss of taste","asthma, diabetes",adult,moderate,Chronic Kidney Disease
"hand tremors, difficulty sleeping, nausea, difficulty speaking, urinary incontinence","chronic liver disease, HIV positive, urban living",senior,moderate,Multiple Sclerosis
"acid reflux, trouble walking","autoimmune disorder, malnutrition, chronic kidney disease",adult,severe,Hypothyroidism
"joint pain, difficulty speaking, unsteady gait, hand tremors, persistent hiccups, difficulty swallowing","family history of heart disease, urban living",senior,moderate,Conjunctivitis
"drooling, yellowing of eyes","vitamin D deficiency, night shift worker, HIV positive",child,severe,Influenza
"weight loss, insomnia, nosebleeds, loss of balance, difficulty sleeping","hypertension, vitamin D deficiency",adult,severe,Hepatitis C
chronic cough,"alcohol use, HIV positive",senior,mild,Otitis Media
"mood swings, joint pain, anxiety, skin discoloration",occupational hazard,adult,moderate,Meningitis
wheezing,"high cholesterol, allergies",child,mild,Chickenpox
"itching, chest pain, rash","stress, occupational hazard",teenager,moderate,Vitamin B12 Deficiency
"memory loss, loss of smell, neck stiffness, constipation, vision loss, difficulty swallowing, fainting","thyroid disorder, urban living, mental health disorder",teenager,mild,Anemia
"difficulty urinating, joint pain, difficulty speaking",,adult,moderate,Glaucoma
"difficulty breathing at night, frequent infections, shortness of breath, palpitations, hair loss, nosebleeds, memory loss",night shift worker,adult,mild,Cirrhosis
hair loss,recent surgery,teenager,moderate,COVID-19
"painful urination, muscle stiffness, hair loss, chronic cough",urban living,child,moderate,Otitis Media
"leg cramps, anxiety, nausea, vomiting","frequent travel, high cholesterol",adult,moderate,Coronary Artery Disease
"frequent belching, dry mouth, wheezing",,child,moderate,Epilepsy
frequent belching,hypertension,teenager,mild,Epilepsy
swelling in legs,"malnutrition, chronic liver disease, smoker",senior,mild,Gallstones
"anxiety, slow healing",,adult,severe,Coronary Artery Disease
"low energy, joint pain, loss of balance, difficulty breathing at night, difficulty speaking, dry eyes",,adult,moderate,Dengue Fever
"palpitations, slow healing",frequent travel,adult,moderate,Depression
"muscle stiffness, blurred vision, swelling in legs, ear pain, loss of smell",vitamin D deficiency,teenager,mild,Anxiety Disorder
"palpitations, difficulty breathing at night, hair loss, shortness of breath, memory loss","night shift worker, alcohol use",teenager,moderate,Cirrhosis
"rash, numbness, wheezing, increased thirst, hand tremors",,adult,mild,Chickenpox
"chronic cough, slow healing, palpitations","frequent travel, anemia",senior,severe,Depression
"ear pain, muscle stiffness, swelling in legs, frequent infections","vitamin D deficiency, family history of cancer, COPD",adult,mild,Anxiety Disorder
"weight loss, sore throat, neck stiffness, swelling in legs",smoker,senior,moderate,Tetanus
"difficulty swallowing, difficulty urinating, dry mouth, hallucinations, unsteady gait",,adult,mild,Alzheimer’s Disease
tremors,"pregnancy, alcohol use, malnutrition",adult,severe,Macular Degeneration
"hiccups, swollen lymph nodes, frequent belching",recent infection,adult,moderate,Arthritis
"insomnia, loss of balance, dizziness, difficulty sleeping, joint pain","family history of heart disease, sleep apnea",adult,moderate,Colon Cancer
"constipation, vision loss",thyroid disorder,adult,mild,Anemia
"chronic cough, difficulty sleeping","autoimmune disorder, malnutrition, chronic kidney disease, sleep apnea",adult,moderate,Hypothyroidism
painful urination,,adult,severe,Otitis Media
"tremors, nausea, urinary incontinence","chronic liver disease, urban living",adult,moderate,Multiple Sclerosis
"nail changes, bleeding gums","chronic liver disease, thyroid disorder, COPD",adult,mild,Common Cold
vomiting,"frequent travel, occupational hazard",teenager,severe,Coronary Artery Disease
rash,,adult,moderate,Chickenpox
"cough, hand tremors, nosebleeds, drooling","smoker, frequent travel",adult,severe,Insomnia
"difficulty sleeping, tingling sensation, acid reflux, chronic cough, trouble walking","autoimmune disorder, sleep apnea, malnutrition, chronic kidney disease",senior,mild,Hypothyroidism
"shortness of breath, irregular heartbeat, yellowing of eyes, craving for salt, hoarseness, confusion",,senior,mild,Transient Ischemic Attack
"constipation, muscle pain, difficulty speaking, back pain","long-term medication use, COPD, chronic kidney disease",teenager,mild,Peptic Ulcer
"urinary incontinence, nausea","urban living, chronic liver disease",senior,moderate,Multiple Sclerosis
bleeding gums,,teenager,mild,Common Cold
"lump or swelling, groin pain, frequent urination","thyroid disorder, radiation exposure, chronic kidney disease",senior,mild,Pneumonia
"hoarseness, dry eyes, dry mouth, cold hands and feet",long-term medication use,teenager,mild,Lung Cancer
"hoarseness, confusion, craving for salt","radiation exposure, family history of cancer",senior,severe,Transient Ischemic Attack
"unsteady gait, constipation, muscle stiffness",,child,mild,Arrhythmia
"difficulty urinating, headache, loss of balance, dry eyes, easy bruising, difficulty breathing at night, nausea",high cholesterol,adult,severe,Crohn’s Disease
"frequent infections, difficulty swallowing, nail changes, double vision","family history of heart disease, family history of cancer",child,moderate,Cushing Syndrome
palpitations,,adult,severe,Depression
dry eyes,"recent surgery, diabetes, asthma",teenager,moderate,Lung Cancer
hiccups,"rural living, asthma",teenager,moderate,Pancreatitis
"confusion, frequent belching, persistent hiccups, hand tremors","exposure to chemicals, pregnancy",adult,severe,COPD
"voice tremor, difficulty concentrating, loss of balance, chest pain, lightheadedness",,senior,mild,Hyperthyroidism
"loss of taste, gas/bloating, palpitations","asthma, malnutrition, chronic liver disease",adult,mild,Tension Headache
skin discoloration,,child,severe,COVID-19
"hearing loss, constipation, back pain",high cholesterol,senior,severe,Sleep Apnea
"vomiting, difficulty breathing at night","hypertension, asthma, allergies",adult,severe,Down Syndrome
"confusion, persistent hiccups, frequent belching",,adult,mild,COPD
"difficulty sleeping, depression, loss of balance, insomnia, nosebleeds, weight loss","chronic kidney disease, vitamin D deficiency, hypertension",adult,mild,Hepatitis C
"fever, joint pain, difficulty speaking, difficulty urinating","family history of cancer, chronic kidney disease, thyroid disorder",senior,severe,Glaucoma
"neck stiffness, craving for salt, irritability, facial drooping",night shift worker,adult,moderate,Zika Virus
"dry eyes, difficulty speaking, loss of balance, low energy",pregnancy,adult,moderate,Dengue Fever
"slow healing, palpitations, chronic cough","long-term medication use, frequent travel",senior,mild,Depression
"fatigue, hoarseness, abdominal pain","low immunity, chronic kidney disease",adult,moderate,Iron Deficiency
hallucinations,stress,adult,mild,PCOS
groin pain,diabetes,adult,mild,Chronic Kidney Disease
"acid reflux, skin discoloration, persistent hiccups, insomnia","long-term medication use, malnutrition",adult,mild,Irritable Bowel Syndrome
"loss of balance, hiccups, involuntary movements, heat intolerance",,adult,mild,Pancreatitis
"hair loss, skin discoloration","chronic kidney disease, high cholesterol, recent surgery, diabetes",teenager,moderate,COVID-19
"groin pain, painful urination",pregnancy,adult,mild,Macular Degeneration
"difficulty swallowing, voice tremor","asthma, pregnancy, rural living",teenager,moderate,Addison’s Disease
depression,autoimmune disorder,child,moderate,Stroke
"lump or swelling, ear pain, heat intolerance, abdominal pain","occupational hazard, HIV positive",adult,moderate,Gastroenteritis
"difficulty breathing at night, headache, loss of balance, dry eyes, easy bruising","recent surgery, high cholesterol",adult,mild,Crohn’s Disease
"difficulty breathing at night, loss of balance, joint pain, low energy",pregnancy,child,mild,Dengue Fever
"facial drooping, persistent hiccups, loss of taste, groin pain","diabetes, asthma",adult,moderate,Chronic Kidney Disease
"low energy, difficulty breathing at night, joint pain, difficulty speaking, loss of balance",,teenager,severe,Dengue Fever
"palpitations, numbness","chronic liver disease, asthma, malnutrition",adult,severe,Tension Headache
hallucinations,"occupational hazard, malnutrition",adult,mild,Alzheimer’s Disease
"cold hands and feet, hoarseness, wheezing","mental health disorder, sleep apnea, obesity",teenager,moderate,Hepatitis B
"difficulty speaking, joint pain","thyroid disorder, chronic kidney disease",teenager,moderate,Glaucoma
"chronic cough, difficulty sleeping","sleep apnea, chronic kidney disease, autoimmune disorder",adult,moderate,Hypothyroidism
"wheezing, difficulty swallowing, neck stiffness, abdominal pain","exposure to chemicals, long-term medication use",child,severe,Lupus
"frequent infections, voice tremor, unsteady gait, mood swings","rural living, pregnancy",senior,mild,Addison’s Disease
"irregular heartbeat, hoarseness, craving for salt",,child,severe,Transient Ischemic Attack
"frequent headaches, mood swings","mental health disorder, stress, obesity",adult,moderate,Asthma
"insomnia, difficulty concentrating, involuntary movements, tingling sensation","smoker, malnutrition",adult,mild,Urinary Tract Infection
dizziness,,senior,moderate,Colon Cancer
"loss of balance, headache","hypertension, high cholesterol, night shift worker, recent surgery",adult,moderate,Crohn’s Disease
"difficulty swallowing, constipation, abdominal pain","long-term medication use, exposure to chemicals",adult,severe,Lupus
"shortness of breath, groin pain","radiation exposure, thyroid disorder, chronic kidney disease",adult,mild,Pneumonia
unsteady gait,"stress, occupational hazard",adult,mild,Arrhythmia
"vomiting, hoarseness","asthma, hypertension",adult,moderate,Down Syndrome
"gas/bloating, dizziness, insomnia, loss of balance, difficulty sleeping, joint pain","family history of heart disease, sleep apnea, hypertension",adult,mild,Colon Cancer
"frequent belching, memory loss, insomnia, frequent infections","radiation exposure, vitamin D deficiency",adult,moderate,Skin Cancer
heat intolerance,"pregnancy, high cholesterol",adult,severe,Stroke
