symptom,predictedDisease,healthFactor,ageGroup,severity,userPreference,conventionalMedicine,alternativeMedicine,conventionalMedicineRating,alternativeMedicineRating
sore throat,Strep Throat,heart disease,senior,mild,pharmaceutical,Throat Lozenges,"Slippery Elm, Licorice Root Tea",4.5,3.7
dizziness,Vertigo,no known condition,adult,mild,pharmaceutical,Meclizine,"Ginseng, Bacopa",3.6,4.3
muscle pain,Fibromyalgia,asthma,senior,mild,no preference,Diclofenac,"Massage Therapy, Eucalyptus Oil",4.2,3.6
anxiety,Generalized Anxiety Disorder,heart disease,senior,severe,no preference,Alprazolam,"L-Theanine, Valerian Root",3.6,3.9
cough,Common Cold,diabetes,adult,mild,no preference,Dextromethorphan,"Mulethi, Honey & Ginger",4.7,4.6
fatigue,Chronic Fatigue Syndrome,asthma,adult,moderate,no preference,Vitamin B12,"Ashwagandha, Ginseng",4.0,3.5
stomach pain,Gastritis,no known condition,child,mild,no preference,Omeprazole,"Fennel Seeds, Chamomile",4.8,4.4
fever,Viral Infection,hypertension,senior,mild,no preference,Ibuprofen,"Giloy, Elderberry",4.7,3.3
fever,Viral Infection,obesity,senior,severe,herbal,Ibuprofen,"Giloy, Tulsi Tea",4.6,3.8
shortness of breath,Asthma,allergies,child,severe,no preference,Albuterol,"Deep Breathing, Quercetin",4.3,4.9
stomach pain,Gastritis,heart disease,senior,mild,no preference,Omeprazole,"Probiotics, Chamomile",5.0,4.3
shortness of breath,Asthma,asthma,child,severe,herbal,Albuterol,"Deep Breathing, Quercetin",3.5,3.1
headache,Migraine,allergies,child,mild,herbal,Paracetamol,"Feverfew, Butterbur",4.5,4.6
nausea,Gastroenteritis,diabetes,adult,moderate,pharmaceutical,Ondansetron,"Ginger, Peppermint Oil",4.7,3.6
skin rash,Allergic Reaction,heart disease,child,severe,pharmaceutical,Antihistamine,"Aloe Vera, Calendula",3.6,3.5
sore throat,Strep Throat,asthma,child,moderate,herbal,Throat Lozenges,"Saltwater Gargle, Licorice Root Tea",4.9,4.0
anxiety,Generalized Anxiety Disorder,heart disease,child,moderate,herbal,Alprazolam,"Chamomile, Valerian Root",5.0,4.6
insomnia,Sleep Disorder,no known condition,child,moderate,no preference,Melatonin,"Passionflower, Magnesium",3.5,4.0
nausea,Gastroenteritis,no known condition,adult,moderate,pharmaceutical,Ondansetron,"Lemon Balm, Peppermint Oil",4.4,3.7
fever,Viral Infection,diabetes,senior,moderate,no preference,Ibuprofen,"Giloy, Elderberry",4.1,3.7
fatigue,Chronic Fatigue Syndrome,heart disease,adult,mild,no preference,Vitamin B12,"Ginseng, Rhodiola",3.8,4.7
shortness of breath,Asthma,diabetes,child,moderate,herbal,Albuterol,"Quercetin, Deep Breathing",3.6,4.9
headache,Migraine,allergies,adult,moderate,pharmaceutical,Paracetamol,"Magnesium, Feverfew",3.9,4.5
cough,Common Cold,no known condition,child,mild,herbal,Dextromethorphan,"Honey & Ginger, Mulethi",3.7,3.4
nausea,Gastroenteritis,asthma,child,severe,no preference,Ondansetron,"Lemon Balm, Peppermint Oil",4.4,3.6
stomach pain,Gastritis,asthma,adult,moderate,pharmaceutical,Omeprazole,"Fennel Seeds, Chamomile",4.5,4.5
shortness of breath,Asthma,heart disease,senior,moderate,herbal,Albuterol,"Deep Breathing, Yoga",4.9,5.0
fatigue,Chronic Fatigue Syndrome,allergies,adult,moderate,no preference,Vitamin B12,"Ginseng, Rhodiola",3.5,3.0
insomnia,Sleep Disorder,diabetes,child,mild,no preference,Melatonin,"Passionflower, Magnesium",4.4,4.9
nausea,Gastroenteritis,no known condition,senior,severe,pharmaceutical,Ondansetron,"Ginger, Lemon Balm",4.5,4.6
nausea,Gastroenteritis,allergies,adult,mild,pharmaceutical,Ondansetron,"Peppermint Oil, Lemon Balm",3.9,3.4
sore throat,Strep Throat,diabetes,adult,severe,pharmaceutical,Throat Lozenges,"Slippery Elm, Licorice Root Tea",4.9,3.9
nausea,Gastroenteritis,allergies,child,mild,herbal,Ondansetron,"Lemon Balm, Peppermint Oil",4.1,3.8
stomach pain,Gastritis,allergies,senior,moderate,no preference,Omeprazole,"Fennel Seeds, Chamomile",3.6,3.5
muscle pain,Fibromyalgia,diabetes,senior,severe,no preference,Diclofenac,"Eucalyptus Oil, Arnica",4.3,4.6
stomach pain,Gastritis,hypertension,child,moderate,pharmaceutical,Omeprazole,"Fennel Seeds, Chamomile",4.5,4.8
muscle pain,Fibromyalgia,asthma,adult,mild,herbal,Diclofenac,"Eucalyptus Oil, Arnica",4.6,4.4
skin rash,Allergic Reaction,no known condition,child,severe,pharmaceutical,Antihistamine,"Oatmeal, Aloe Vera",4.0,4.1
joint pain,Arthritis,asthma,child,severe,no preference,Ibuprofen,"Turmeric, Devil’s Claw",4.8,4.0
joint pain,Arthritis,obesity,senior,severe,herbal,Ibuprofen,"Turmeric, Devil’s Claw",4.7,4.2
fever,Viral Infection,obesity,senior,mild,herbal,Ibuprofen,"Giloy, Elderberry",4.1,3.4
fever,Viral Infection,heart disease,adult,severe,pharmaceutical,Ibuprofen,"Giloy, Tulsi Tea",4.2,3.2
nausea,Gastroenteritis,no known condition,child,mild,no preference,Ondansetron,"Peppermint Oil, Ginger",3.8,4.6
fatigue,Chronic Fatigue Syndrome,asthma,child,mild,no preference,Vitamin B12,"Ginseng, Ashwagandha",4.2,4.5
skin rash,Allergic Reaction,heart disease,child,mild,herbal,Antihistamine,"Oatmeal, Calendula",3.7,3.2
muscle pain,Fibromyalgia,obesity,senior,moderate,no preference,Diclofenac,"Arnica, Massage Therapy",4.7,4.4
insomnia,Sleep Disorder,heart disease,child,severe,no preference,Melatonin,"Passionflower, Lavender Oil",3.9,3.7
muscle pain,Fibromyalgia,heart disease,adult,severe,herbal,Diclofenac,"Massage Therapy, Eucalyptus Oil",3.8,3.6
muscle pain,Fibromyalgia,diabetes,adult,moderate,herbal,Diclofenac,"Arnica, Eucalyptus Oil",4.6,4.9
nausea,Gastroenteritis,hypertension,adult,moderate,herbal,Ondansetron,"Ginger, Lemon Balm",4.4,3.8
muscle pain,Fibromyalgia,heart disease,senior,moderate,pharmaceutical,Diclofenac,"Arnica, Massage Therapy",4.7,4.7
skin rash,Allergic Reaction,allergies,adult,moderate,no preference,Antihistamine,"Oatmeal, Aloe Vera",4.0,4.1
cough,Common Cold,heart disease,child,severe,herbal,Dextromethorphan,"Honey & Ginger, Mulethi",3.6,4.1
stomach pain,Gastritis,heart disease,child,moderate,no preference,Omeprazole,"Fennel Seeds, Chamomile",4.9,4.9
joint pain,Arthritis,hypertension,adult,severe,herbal,Ibuprofen,"Boswellia, Devil’s Claw",4.1,4.2
dizziness,Vertigo,obesity,child,moderate,pharmaceutical,Meclizine,"Ginseng, Ginger",4.5,5.0
muscle pain,Fibromyalgia,allergies,senior,mild,pharmaceutical,Diclofenac,"Eucalyptus Oil, Arnica",4.7,4.8
sore throat,Strep Throat,asthma,child,mild,herbal,Throat Lozenges,"Licorice Root Tea, Slippery Elm",4.8,4.8
insomnia,Sleep Disorder,diabetes,child,mild,herbal,Melatonin,"Passionflower, Magnesium",4.3,5.0
stomach pain,Gastritis,allergies,child,mild,pharmaceutical,Omeprazole,"Chamomile, Probiotics",4.4,4.2
joint pain,Arthritis,diabetes,senior,severe,pharmaceutical,Ibuprofen,"Turmeric, Boswellia",4.2,3.1
dizziness,Vertigo,asthma,child,severe,herbal,Meclizine,"Ginger, Bacopa",4.5,3.8
muscle pain,Fibromyalgia,no known condition,senior,moderate,herbal,Diclofenac,"Eucalyptus Oil, Massage Therapy",4.2,3.2
joint pain,Arthritis,asthma,child,severe,herbal,Ibuprofen,"Turmeric, Devil’s Claw",4.4,3.0
nausea,Gastroenteritis,diabetes,child,severe,no preference,Ondansetron,"Ginger, Peppermint Oil",4.5,4.0
insomnia,Sleep Disorder,allergies,adult,mild,herbal,Melatonin,"Magnesium, Lavender Oil",4.8,4.6
cough,Common Cold,obesity,adult,severe,pharmaceutical,Dextromethorphan,"Thyme Tea, Mulethi",3.7,4.3
nausea,Gastroenteritis,no known condition,senior,severe,herbal,Ondansetron,"Peppermint Oil, Ginger",4.0,3.2
joint pain,Arthritis,heart disease,adult,moderate,no preference,Ibuprofen,"Devil’s Claw, Boswellia",4.8,5.0
headache,Migraine,hypertension,child,moderate,no preference,Paracetamol,"Butterbur, Feverfew",4.1,4.2
headache,Migraine,asthma,senior,moderate,pharmaceutical,Paracetamol,"Magnesium, Butterbur",4.5,4.4
dizziness,Vertigo,no known condition,adult,moderate,no preference,Meclizine,"Bacopa, Ginseng",4.4,4.3
muscle pain,Fibromyalgia,heart disease,senior,severe,no preference,Diclofenac,"Eucalyptus Oil, Massage Therapy",4.8,4.8
headache,Migraine,diabetes,adult,moderate,pharmaceutical,Paracetamol,"Feverfew, Butterbur",4.8,4.0
shortness of breath,Asthma,no known condition,child,mild,herbal,Albuterol,"Deep Breathing, Yoga",4.0,3.7
stomach pain,Gastritis,diabetes,adult,mild,no preference,Omeprazole,"Fennel Seeds, Chamomile",3.7,4.6
fever,Viral Infection,obesity,adult,moderate,pharmaceutical,Ibuprofen,"Giloy, Elderberry",3.7,3.2
sore throat,Strep Throat,hypertension,senior,severe,herbal,Throat Lozenges,"Slippery Elm, Saltwater Gargle",4.2,3.8
muscle pain,Fibromyalgia,heart disease,senior,mild,herbal,Diclofenac,"Massage Therapy, Eucalyptus Oil",5.0,3.9
anxiety,Generalized Anxiety Disorder,diabetes,adult,severe,no preference,Alprazolam,"Chamomile, Valerian Root",3.6,4.6
fever,Viral Infection,obesity,senior,moderate,no preference,Ibuprofen,"Elderberry, Giloy",4.0,4.8
dizziness,Vertigo,asthma,senior,severe,no preference,Meclizine,"Ginseng, Bacopa",4.5,3.8
joint pain,Arthritis,heart disease,child,mild,herbal,Ibuprofen,"Devil’s Claw, Boswellia",4.5,3.3
joint pain,Arthritis,diabetes,senior,moderate,pharmaceutical,Ibuprofen,"Devil’s Claw, Boswellia",3.7,3.9
cough,Common Cold,obesity,child,mild,pharmaceutical,Dextromethorphan,"Mulethi, Thyme Tea",3.7,4.1
skin rash,Allergic Reaction,obesity,adult,mild,herbal,Antihistamine,"Calendula, Aloe Vera",3.8,4.4
anxiety,Generalized Anxiety Disorder,no known condition,child,mild,herbal,Alprazolam,"L-Theanine, Valerian Root",4.4,3.7
dizziness,Vertigo,heart disease,adult,severe,herbal,Meclizine,"Ginger, Ginseng",4.1,3.2
stomach pain,Gastritis,hypertension,child,mild,herbal,Omeprazole,"Probiotics, Fennel Seeds",4.4,3.3
cough,Common Cold,no known condition,child,severe,herbal,Dextromethorphan,"Mulethi, Honey & Ginger",4.7,5.0
insomnia,Sleep Disorder,diabetes,senior,severe,pharmaceutical,Melatonin,"Magnesium, Passionflower",4.3,3.2
muscle pain,Fibromyalgia,diabetes,adult,moderate,herbal,Diclofenac,"Massage Therapy, Arnica",4.2,3.5
sore throat,Strep Throat,heart disease,child,moderate,herbal,Throat Lozenges,"Saltwater Gargle, Licorice Root Tea",4.6,4.7
anxiety,Generalized Anxiety Disorder,hypertension,senior,moderate,herbal,Alprazolam,"Chamomile, L-Theanine",3.8,4.7
nausea,Gastroenteritis,heart disease,adult,severe,herbal,Ondansetron,"Peppermint Oil, Lemon Balm",4.9,4.0
stomach pain,Gastritis,no known condition,senior,moderate,no preference,Omeprazole,"Chamomile, Fennel Seeds",4.2,4.2
joint pain,Arthritis,asthma,adult,severe,pharmaceutical,Ibuprofen,"Turmeric, Boswellia",4.7,5.0
dizziness,Vertigo,obesity,adult,mild,no preference,Meclizine,"Ginseng, Ginger",3.9,3.8
cough,Common Cold,allergies,child,mild,pharmaceutical,Dextromethorphan,"Mulethi, Thyme Tea",4.0,4.1
insomnia,Sleep Disorder,no known condition,adult,moderate,pharmaceutical,Melatonin,"Lavender Oil, Magnesium",3.6,4.7
muscle pain,Fibromyalgia,asthma,senior,moderate,no preference,Diclofenac,"Eucalyptus Oil, Massage Therapy",4.3,3.2
shortness of breath,Asthma,obesity,child,mild,herbal,Albuterol,"Yoga, Quercetin",4.6,3.3
headache,Migraine,heart disease,child,severe,herbal,Paracetamol,"Feverfew, Magnesium",4.8,3.6
sore throat,Strep Throat,heart disease,senior,severe,pharmaceutical,Throat Lozenges,"Licorice Root Tea, Slippery Elm",3.8,4.7
joint pain,Arthritis,no known condition,senior,mild,herbal,Ibuprofen,"Boswellia, Turmeric",4.6,3.7
nausea,Gastroenteritis,no known condition,senior,severe,no preference,Ondansetron,"Ginger, Lemon Balm",3.6,4.8
cough,Common Cold,hypertension,adult,moderate,no preference,Dextromethorphan,"Mulethi, Thyme Tea",4.6,3.4
fatigue,Chronic Fatigue Syndrome,allergies,adult,severe,herbal,Vitamin B12,"Ashwagandha, Ginseng",4.6,3.1
sore throat,Strep Throat,diabetes,senior,mild,no preference,Throat Lozenges,"Saltwater Gargle, Licorice Root Tea",3.5,3.6
sore throat,Strep Throat,hypertension,adult,moderate,no preference,Throat Lozenges,"Slippery Elm, Licorice Root Tea",3.6,3.6
fatigue,Chronic Fatigue Syndrome,diabetes,adult,mild,no preference,Vitamin B12,"Ashwagandha, Rhodiola",4.3,3.1
anxiety,Generalized Anxiety Disorder,no known condition,child,severe,herbal,Alprazolam,"Valerian Root, Chamomile",3.6,4.7
stomach pain,Gastritis,allergies,adult,moderate,no preference,Omeprazole,"Fennel Seeds, Probiotics",4.1,3.1
insomnia,Sleep Disorder,obesity,senior,mild,no preference,Melatonin,"Lavender Oil, Passionflower",3.6,3.8
shortness of breath,Asthma,obesity,adult,severe,pharmaceutical,Albuterol,"Quercetin, Deep Breathing",4.9,4.6
anxiety,Generalized Anxiety Disorder,allergies,adult,mild,herbal,Alprazolam,"Valerian Root, Chamomile",4.5,4.8
insomnia,Sleep Disorder,obesity,senior,severe,herbal,Melatonin,"Lavender Oil, Passionflower",4.8,4.4
fever,Viral Infection,no known condition,senior,moderate,no preference,Ibuprofen,"Elderberry, Giloy",4.9,4.1
anxiety,Generalized Anxiety Disorder,obesity,child,moderate,pharmaceutical,Alprazolam,"Chamomile, Valerian Root",4.2,3.9
fatigue,Chronic Fatigue Syndrome,no known condition,senior,mild,pharmaceutical,Vitamin B12,"Ginseng, Ashwagandha",4.6,3.3
shortness of breath,Asthma,hypertension,adult,moderate,no preference,Albuterol,"Yoga, Quercetin",5.0,4.8
headache,Migraine,no known condition,senior,severe,pharmaceutical,Paracetamol,"Butterbur, Feverfew",4.8,4.6
anxiety,Generalized Anxiety Disorder,allergies,child,severe,pharmaceutical,Alprazolam,"Chamomile, Valerian Root",4.2,4.4
cough,Common Cold,heart disease,adult,moderate,herbal,Dextromethorphan,"Mulethi, Honey & Ginger",4.9,3.6
nausea,Gastroenteritis,asthma,adult,moderate,no preference,Ondansetron,"Peppermint Oil, Lemon Balm",3.9,3.4
cough,Common Cold,diabetes,child,moderate,no preference,Dextromethorphan,"Mulethi, Honey & Ginger",3.7,4.5
nausea,Gastroenteritis,asthma,senior,moderate,herbal,Ondansetron,"Ginger, Lemon Balm",4.6,3.7
muscle pain,Fibromyalgia,allergies,adult,mild,pharmaceutical,Diclofenac,"Eucalyptus Oil, Arnica",4.1,4.3
insomnia,Sleep Disorder,allergies,adult,severe,pharmaceutical,Melatonin,"Magnesium, Lavender Oil",4.4,4.0
dizziness,Vertigo,hypertension,senior,severe,no preference,Meclizine,"Bacopa, Ginseng",3.7,4.7
fatigue,Chronic Fatigue Syndrome,allergies,child,moderate,no preference,Vitamin B12,"Ginseng, Ashwagandha",4.9,4.7
cough,Common Cold,diabetes,child,severe,pharmaceutical,Dextromethorphan,"Thyme Tea, Mulethi",4.9,4.6
